model,accuracy,precision,recall,f1
KNN,0.6527523616400416,0.6754474352730118,0.6527523616400416,0.6554432755401434
Random Forest,0.7682872545625402,0.7945372746022676,0.7682872545625402,0.7696367704246618
SVM,0.43716306444433456,0.43122528910975333,0.43716306444433456,0.4085772936354044
